Player,Season,Team,Location,Opp Team,Date,Result,Mins Played,Field Goal,Field Goal Att,Field Goal %,3 Point Field Goal,3 Point Field Goal Att,3 Point Field Goal %,Free Throw,Free Throw Att,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,Points,Usage %,True Shooting %,Effective Fg %,Total Rebound %,Assist %,Offensive Rating,Defensive Rating,Game Score,Playoffs,Championship Season
Lebron James,2005-2006,CLE,0,PHO,2006-01-29,W,42:45,17.0,33.0,0.515,3.0,7.0,0.429,7.0,12.0,0.583,11.0,7.0,1.0,1.0,6.0,44.0,44.1,0.575,0.561,15.2,37.6,114.0,110.0,29.6,False,False
Lebron James,2005-2006,CLE,@,CHA,2006-01-30,W,31:34,11.0,19.0,0.579,2.0,6.0,0.333,6.0,11.0,0.545,6.0,6.0,5.0,1.0,4.0,30.0,38.2,0.629,0.632,10.4,42.9,115.0,81.0,26.4,False,False
Lebron James,2005-2006,CLE,0,NJN,2006-02-01,W,44:26,8.0,21.0,0.381,0.0,2.0,0.0,10.0,12.0,0.833,11.0,10.0,1.0,1.0,4.0,26.0,32.8,0.495,0.381,14.1,46.2,101.0,94.0,20.9,False,False
Lebron James,2005-2006,CLE,@,MIA,2006-02-02,L,39:18,12.0,29.0,0.414,2.0,5.0,0.4,3.0,3.0,1.0,5.0,7.0,1.0,0.0,1.0,29.0,35.6,0.478,0.448,6.6,59.6,103.0,108.0,20.3,False,False
Lebron James,2005-2006,CLE,0,PHI,2006-02-04,L,47:11,10.0,17.0,0.588,2.0,7.0,0.286,9.0,10.0,0.9,4.0,6.0,2.0,1.0,4.0,31.0,24.0,0.724,0.647,5.5,25.6,136.0,113.0,27.6,False,False
Lebron James,2005-2006,CLE,0,MIL,2006-02-06,W,45:21,9.0,20.0,0.45,2.0,7.0,0.286,2.0,4.0,0.5,9.0,12.0,0.0,2.0,4.0,22.0,28.8,0.506,0.5,11.1,46.2,103.0,100.0,17.7,False,False
Lebron James,2005-2006,CLE,@,MIN,2006-02-08,W,45:38,11.0,34.0,0.324,1.0,5.0,0.2,12.0,17.0,0.706,11.0,8.0,1.0,0.0,0.0,35.0,41.6,0.422,0.338,12.6,45.7,110.0,101.0,22.7,False,False
Lebron James,2005-2006,CLE,@,WAS,2006-02-10,L,45:23,6.0,23.0,0.261,0.0,3.0,0.0,6.0,8.0,0.75,9.0,8.0,1.0,0.0,2.0,18.0,31.4,0.339,0.261,11.9,33.0,85.0,116.0,10.4,False,False
Lebron James,2005-2006,CLE,0,GSW,2006-02-11,L,43:48,10.0,17.0,0.588,5.0,6.0,0.833,8.0,8.0,1.0,5.0,6.0,1.0,2.0,2.0,33.0,23.4,0.804,0.735,7.4,29.8,155.0,110.0,29.6,False,False
Lebron James,2005-2006,CLE,0,SAS,2006-02-13,W,40:43,19.0,33.0,0.576,1.0,3.0,0.333,5.0,8.0,0.625,3.0,5.0,4.0,0.0,2.0,44.0,44.2,0.602,0.591,4.7,26.1,131.0,98.0,34.5,False,False
